"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","138.59.18.106","443"
"Fast|Running|V2Dir|Valid","149.172.106.14","9001"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","87.118.116.90","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.101.179","10179"
"Fast|Running|Stable|V2Dir|Valid","178.63.68.78","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","174.162.181.9","9001"
"Fast|Running|V2Dir|Valid","5.12.93.192","9162"
"Fast|Guard|Running|Stable|V2Dir|Valid","5.200.21.144","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","129.159.196.4","6969"
"Running|V2Dir|Valid","5.196.28.107","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","50.38.62.111","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.220.103.112","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","95.216.13.120","8000"
"Fast|Guard|Running|Stable|V2Dir|Valid","65.108.3.114","1066"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","81.7.18.7","9001"
"Fast|Running|Valid","45.77.136.58","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.250.14.106","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","23.129.64.147","443"
"Fast|Running|Stable|V2Dir|Valid","79.249.177.79","443"
"Exit|Fast|Running|Stable|Valid","109.70.100.78","8080"
"Fast|Running|V2Dir|Valid","76.64.30.132","57771"
"Exit|Fast|Running|V2Dir|Valid","78.142.18.219","443"
"Fast|Running|Stable|Valid","95.217.5.88","9101"
"Fast|Running|Valid","68.96.115.95","9001"
"Fast|Running|V2Dir|Valid","91.41.209.190","9001"
"Fast|Running|V2Dir|Valid","89.212.41.199","444"
"Fast|Running|Stable|V2Dir|Valid","5.75.249.160","1337"
"Exit|Fast|Running|Stable|Valid","185.220.101.10","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","85.195.253.5","9005"
"Fast|Guard|Running|Stable|V2Dir|Valid","185.239.222.241","443"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","198.251.84.99","443"
"Fast|HSDir|Running|Stable|V2Dir|Valid","107.189.10.86","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","86.123.52.188","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","172.105.242.117","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","37.120.165.175","443"
"Exit|Fast|HSDir|Running|Stable|V2Dir|Valid","5.45.96.177","9100"
"Fast|Running|Stable|V2Dir|Valid","185.26.127.24","443"
"Fast|Running|V2Dir|Valid","213.163.70.234","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","185.225.17.105","9002"
"Running|Stable|V2Dir|Valid","94.23.248.158","9001"
"Fast|Running|Valid","188.93.140.207","9001"
"Fast|Running|V2Dir|Valid","78.31.64.240","9001"
"Exit|Fast|Running|Stable|Valid","109.70.100.10","443"
"Fast|Running|Valid","185.213.175.43","2020"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","65.39.97.13","9001"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.68.152.77","443"
"Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","51.254.96.208","9001"
"Exit|Fast|Guard|HSDir|Running|Stable|V2Dir|Valid","195.176.3.20","443"
"Fast|Guard|Running|Stable|V2Dir|Valid","74.208.142.142","443"
"Running|V2Dir|Valid","89.58.61.42","9001"
"Fast|Guard|Running|Stable|V2Dir|Valid","35.134.88.217","9001"
"Fast|HSDir|Running|Stable|V2Dir|Valid","37.247.55.40","443"
